Date,Product,Region,Quantity,Unit_Price,Total_Sales
2024-01-05,Laptop,North,3,999.99,2999.97
2024-01-05,Mouse,North,15,29.99,449.85
2024-01-06,Laptop,South,2,999.99,1999.98
2024-01-06,Keyboard,South,8,79.99,639.92
2024-01-07,Monitor,North,4,349.99,1399.96
2024-01-07,Laptop,East,5,999.99,4999.95
2024-01-08,Mouse,East,20,29.99,599.80
2024-01-08,Chair,West,3,299.99,899.97
2024-01-09,Laptop,West,1,999.99,999.99
2024-01-09,Monitor,South,6,349.99,2099.94
2024-01-10,Keyboard,North,12,79.99,959.88
2024-01-10,Desk,East,2,449.99,899.98
2024-01-11,Laptop,North,4,999.99,3999.96
2024-01-11,Mouse,West,18,29.99,539.82
2024-01-12,Monitor,East,3,349.99,1049.97
2024-01-12,Laptop,South,6,999.99,5999.94
2024-01-13,Chair,North,5,299.99,1499.95
2024-01-13,Keyboard,West,10,79.99,799.90
2024-01-14,Laptop,East,3,999.99,2999.97
2024-01-14,Desk,South,4,449.99,1799.96
2024-01-15,Monitor,West,7,349.99,2449.93
2024-01-15,Mouse,North,25,29.99,749.75
2024-01-16,Laptop,South,2,999.99,1999.98
2024-01-16,Chair,East,4,299.99,1199.96
2024-01-17,Keyboard,North,14,79.99,1119.86
2024-01-17,Desk,West,1,449.99,449.99
2024-01-18,Laptop,West,5,999.99,4999.95
2024-01-18,Monitor,East,8,349.99,2799.92
2024-01-19,Mouse,South,30,29.99,899.70
2024-01-19,Chair,North,2,299.99,599.98
2024-01-20,Laptop,North,7,999.99,6999.93
2024-01-20,Desk,South,3,449.99,1349.97
